Ссылка на источник,Ссылка на пост,Текст поста,Коэффициент поста,Тема 1,Тема 2,Тема 3
https://www.facebook.com/bablorub,https://www.facebook.com/bablorub/posts/3689651181063771,"Как выживает ресторанная индустрия.
Да никак. Но умерших полностью мало. И вот почему.
1) Договоренность с арендодателями. Тут кому как повезло, но скидку получили почти все. А некоторые имели и ноль к оплате за аренду, пока торговали на вынос. Но важное. Не наша история, а из мск. Там стали договариваться на 10-12% от выручки. На мой взгляд это адекватно и будущее, и легко контролируется. И экономику считать проще.
2) Слив персонала. Сложная тема. У многих люди были не устроены официально. Кто-то стал платить только минималку на время простоя. Кто-то перевел сотрудников в отпуск за свой счет.
Оставляя за гранью, что там со схемами, многие ушли из профессии. И сейчас людей нет. Просто нет. Пока большинство не поверит в профессию снова. И как им поверить, когда их кинули? Каждый день такие истории. Люди не хотят возвращения обратно.",,Бизнес справился с кризисом,Нехватка средств / закрытие бизнеса,
https://www.facebook.com/bablorub,https://www.facebook.com/bablorub/posts/3619021404793416,"Ивентер 2019: ты едешь на велосипеде, который горит, и ты горишь, и все горит.
Ивентер 2020: ты едешь на велосипеде, который горит, по единственной заминированной дороге, в тебя стреляют, ты горишь, все горит и по пути пропускные пункты, где шмонают и просят оплатить за проезд, а потом кидают монетку, пропустить или нет.",,"Неопределенность, страх, выгорание из-за пандемии",,
https://www.facebook.com/bablorub,https://www.facebook.com/bablorub/posts/3600524283309795,"Отложенный спрос работал только пару недель после отмены «самоизоляции», клиентов у салонов стало меньше, чем раньше.
https://forbes-ru.turbopages.org/s/forbes.ru/karera-i-svoy-biznes/405443-deneg-net-pochemu-kazhdyy-pyatyy-biznes-v-rossii-ne-otkrylsya-posle",,Снижение потребительского спроса,,
https://www.facebook.com/bablorub,https://www.facebook.com/bablorub/posts/3594590563903167,"На глазах рождается новый анекдот.
- Деда, а расскажи, как твой ресторан пережил пандемию в 2020!
- О! Сначала я срезал все расходы какие мог.
- И вышел в плюс.
- Нет, лучше не стало. И тогда я уволил половину сотрудников. А второй половине срезал вдвое зарплату.
- И вышел в плюс?
- Нет, что ты. Мы открыли доставку и стали втихаря работать с открытым залом нелегально.
- И, наконец, ты стал зарабатывать!
- Нет.
- Так в чем секрет твоего успеха?!!
- Я продал половину своего убыточного ресторана за несколько миллионов строителю Лëше, и тут мне поперло.",,Нехватка средств / закрытие бизнеса,,
https://www.facebook.com/bablorub,https://www.facebook.com/bablorub/posts/3577963635565860,"Что произошло с Васей и Петей и их бизнесами? Прошло два месяца с тех постов. И ситуация сложилась, однозначно, уникальная на моей памяти. Все плохо, но хорошо, хотя и плохо. Или бизнес пополам.
Все ожидали, что бизнес скинет вровень по всем слоям, как в 2009 году, а потом в 2014. В итоге рынок труда наполнится профи, умершие фирмы расчистят нишу. И тут все, кто выжил, как рванут.
На деле произошла сложная консолидация. Скинули в рынок труда нижний уровень, верхний ужался в части зп по обоюдному согласию, аренда ужалась. И эта демократия создала феномен карантинного застоя. Когда все пересели на четверть пайки, но счастливы что не ноль.
Ситуация абсолютно парадоксальна. Большинство известных мне бизнесов имеют незначительный минус или даже плюс, благословят бога об этом. Но живут возвращением к прежним результатам. И жить в этом скукоженном состоянии могут очень долго.
Например, урезать смену фастфуда с трех человек до одного. Ничего, что ожидание выросло до двадцати минут.
Срезать десять поваров до двух, которые готовят долго и не так хорошо, но хотя бы готовят.
Это самое яркое из самого пострадавшего, но везде мы резко получили качество вполовину за те же деньги или выше (надо же доплатить за время простоя).
И нет, никакие субсидии не заменят обычного покупательского спроса. Хоть обпишитесь, кто там чем и где помог.
Проблема в изменении структуры спроса, и что к ней никто не оказался готов. Все ждут возврата к прежнему. И могут ждать почти бесконечно долго, сохраняя пониженное качество, потому что другого нет и нескоро будет.
Как все видится мне. Постепенно проявится достаточное количество революционеров, которые зададут новые форматы и умрут задавленные регуляторами. Но на их трупах вырастет новая комбинаторная экономика. Прибыльная, понятная, привлекательная, твоя.",,Снижение потребительского спроса,Необходимость адаптироваться под новые условия,
https://www.facebook.com/bablorub,https://www.facebook.com/bablorub/posts/3554636457898578,"Что я думаю про коронавирус сегодня. После того, как я отсидел карантин по ОРВИ в феврале-марте, а потом зашел в карантикулы с марта по июнь. Вчера мои дети впервые вышли на прогулку по улице, где их садик. Неделю назад они узнали, что у нас есть квартира в Светлогорске (на море в 45км), которую мы купили в конце февраля. Я за пять месяцев ровно ноль раз был у парикмахера и около десяти раз выбирался дальше мусорки.
1) Вирус существует. У меня есть и знакомые переболевшие, и болеющие, и кто уже имеет антитела, хотя и не знал что болел.
2) Все им не переболеют. У кого иммунитет против. Кто-то никогда не соприкоснется с носителями. Да и заразиться можно только от носителя, а не от вас с вашим телефоном.
3) Карантин поможет. Нет. Карантин снижает нагрузку на медучреждения и не более. Если бы его не было, то вы целовались бы в десны и жались бы в сиськи. Я слежу за нагрузкой своего любимого госпиталя (да, у меня агентство, но есть соцнагрузка с 1998) раз в неделю, где вдруг выстроили еще корпус, разрушив шикарный парк. Ни разу нагрузка не поднялась выше 50%. По инфекционке и того ниже.
4) Решает не как мы заболеваем, а как мы себя сами ведем и как быстро нас лечат. ВИЧ летел так быстро в 90-е, потому что презик был дорог и презрен, а лечить ""ну их нафиг"". Они же (ВИЧ) нынче и детей рожают, и живут как обычно.
5) Безалаберность наших друзей, которые пляшут, потому что их заебало сидеть дома, несомненно аукнется. Но строить схему из расчета, что все такие дебилы - аукнется вдвойне. Уже аукнулось. Мне хочется написать, что ""вы пляшете вечером, а утром жалуетесь, что вам не дают работать, все запретили к хуям"". Но нет. Вот здесь и происходит искажение логики. Наложение личного на общественное. Пляшут они от себя. А деньги платит общество. Которое тоже пляшет. Или не пляшет.
6) Несомненно работы еще долго не будет в прежнем объеме. И очень жаль, что большинство решило компенсировать это ухудшением качества и растущими ценами одновременно. Решение правильное в краткосрочной перспективе, но убивающее ваш бизнес на долгой дистанции. И жаль вас, если решили, что эту дистанцию пройдут не все.
Нечто похожее я наблюдал в 2000-х. Не вспомнил никого, кто выжил тогда с такой стратегией. Потому что у них не было другой.
7) Если суждено, вы заболеете. 9 из 10 кейсов в моей ленте - маски, перчатки, спирт, из дома только за продуктами, но заболел. Если не суждено, то нет. Сотни кейсов на эту тему. Жаль, что, читающие их, воспринимают эти кейсы как повод для действия.
8) Власть сидит на корабле, который тонет, но пальцев для дырок ровно десять. Затыкают на камень, ножницы, бумага. А точнее, для тех, кто нужнее или сильнее. Нет ни единого оправдания для мер, которые введены, когда они тут же опровергаются контрмерами кому разрешено. Но когда дырок сто, а пальцев десять, то нужны ""шаловливые пальчики"". Можно было лучше? Не знаю.
Мы все умрем. Поздно или рано. Но лучше умереть взрослыми и полными сил. На сегодня я знаю десятки уловок как соблюдать закон, не соблюдая для юрлиц. Физлицам закон вообще не писан, они вливаются в активность ровно так, как им дают юрлица. А юрлица будут действовать ровно так, чтобы можно, но до грани, когда и ""благословленным"" от власти можно. Чем абсурднее будет вести себя власть, тем жестче будет ответ юрлиц. Тем больше будет очередей и толп у заведений от физлиц. Чем понятнее и логичнее регламент, тем выше шанс, что очередей не будет.
В этом и есть смысл вашей любимой демократии. А не в галочке на бланке в маске с одноразовой ручкой.
А кто не согласен, идите нахуй все, дружными рядами.",,Необходимость адаптироваться под новые условия,Нелогичность ограничительных мер,
https://www.facebook.com/bablorub,https://www.facebook.com/bablorub/posts/3542641429098081,"Про позитив.
Агентство в июне хуже мая, но уже ясно что июль будет лучше и шажком к отскоку. Прям очень клиенты заходят. Ну и есть надежды, что прежние клиенты отвиснут с паузы, так как вирус отменили.
Кафе второй месяц около нуля. Это управленческое околонуля, но оптимистичное. Если сохранятся карантинные наработки, то мы станем зарабатывать с точки в нормальной ситуации на 50% больше.
Курсы. Поток в серединке, новый в сентябре. Ученики умницы, желающие есть на новый. Но финансово это пока никак не отражается, ибо активные продажи не ведутся.
Конференция. Мы до сих пор ссымся, но делаем. Пошли первые оплаты после февраля. Пошли первые ""я не смогу"", но лояльность зашкаливает, и мы с Anna Zholnerovich, Irina Guber, Мария Власова вывернемся наизнанку, но сделаем. Нам бы чуть-чуть хороших новостей и большей активности участников и спикеров в публичном поле. А то обещать не значит жениться.
По одному стартапу mvp пишется. По второму все обсосали, там тупо надо деньги вкидывать и сразу делать, отложили активность до сентября, чтобы не отвлекаться от текущих задач.
Доковыриваю легендарную презу к докладу по продвижению интернет-магазинов для ивента Дмитрий Румянцев и Наталия Франкель. Дожимаю презу к второму этапу бизнес-баттл от Елена Волова, Михаил Майстер молчит что-то. И набираюсь сил сделать презу к докладу по собственной инструкции быстрого seo.
Провел несколько интересных экспертиз по продвижению всяких-разных сайтов. Есть прям взрывающие мозг задачки, на которых сыпятся все гурушки. Накидывайте еще!
Две книги выложены. Автор.Тудей шляпа, конечно, но денег там больше чем в ЛитРесе. Впрочем, я пока и не включал тяжелую артиллерию. Третья книга почти дописана. К Исповеди задрота в новом издании заказаны и рисуются обложки.
В первый раз после покупки провели в квартире, купленной в Светлогорске аккурат до карантина. Норм. Хороший дом, все рядом. Море далековато, но мы к нему равнодушны, а парк в пяти минутах, воздух очумительный даже по нашим меркам, так как мы живем на окраине Калининграда.
Клубника хоть и ремантантная, но уходит на паузу, черешни собрал поллитра, что прям огонь к годам ранее. Иргу сожрали птицы, пошла малина - каждая ягода как наперсток, подходит сморода, вишня - мало, но надо и передохнуть после двух активных лет. Рыбы не только плодятся в нашем микропруду на два куба без корма, но и заманили двух лягушек. Елки постепенно восстанавливаются после грибка.
И меня реально беспокоит ситуация с комарами. Их практически нет.",,Вера в светлое будущее и преодоление временных трудностей,Перспективы развития,"Успехи, достижения бизнеса"
https://www.facebook.com/profile.php?id=100008278056795,https://www.facebook.com/permalink.php?story_fbid=2800915513527690&id=100008278056795,"Восстановление спроса - то, что нам сегодня нужно. И да - вторая волна пугает всех.
",,Опасения второй волны,Снижение потребительского спроса,
https://www.facebook.com/profile.php?id=100008278056795,https://www.facebook.com/permalink.php?story_fbid=2796858410600067&id=100008278056795,"Рубль нестабилен. Ждём осени, аналитики прекрекают колебания курса. Пандемия- понятно. Но нестабильная политическая ситуация у соседей - при чём здесь мы?
https://www.forbes.ru/finansy-i-investicii/407529-lukashenko-oslabil-rubl-pochemu-padaet-rossiyskaya-valyuta?utm_medium=email&utm_source=UniSender&utm_campaign=238822687",,"Неопределенность, страх, выгорание из-за пандемии",,
https://www.facebook.com/profile.php?id=100008278056795,https://www.facebook.com/permalink.php?story_fbid=2811614572457784&id=100008278056795,"Есть ощущение, что рынок арендных отношений во Владивостоке очень не скоро придет в норму. Арендодатели, не смотря на повышение курса доллара, не увеличивали арендную плату. Ведь рынок сформирован в рублях. У предпринимателей, затянувших потуже пояски из за covid, сейчас нет средств на оплату повышенной аренды. Более того, многие задумались о том, чтобы сократить расходы и занимаются поиском более дешёвых арендных предложений. Пониженный спрос не способствует расширению и развитию бизнеса. С учётом ожидания второй волны covid, спрос, вряд ли, восстановится в ближайшее время. А это будет означать ужесточение контроля за расходованием средств предприятий и минимизацию затрат.",,Снижение потребительского спроса,Нехватка средств / закрытие бизнеса,Опасения второй волны
