,Слово,Кол-во употреблений,Коэффициент,Тональность
0,налог,148,"-0,71295",отрицательное
1,хороший,144,"1,0",положительное
2,можно,132,"1,0",положительное
3,жизнь,93,"0,8092",положительное
4,знать,81,"0,6905",положительное
5,друг,78,"1,0",положительное
6,важный,76,"0,6818",положительное
7,думать,76,"0,6985",положительное
8,потом,70,"-0,6636500000000001",отрицательное
9,возможность,66,"0,9",положительное
10,поддержка,62,"1,0",положительное
11,продажа,59,"1,0",положительное
12,развитие,59,"1,0",положительное
13,идея,54,"0,7",положительное
14,жить,53,"0,8014",положительное
15,карантин,52,"-0,91205",отрицательное
16,конец,52,"-0,5263",отрицательное
17,интересный,51,"0,9231",положительное
18,нужный,50,"0,9828",положительное
19,налоговый,50,"-0,6418999999999999",отрицательное
20,доход,47,"1,0",положительное
21,пандемия,45,"-0,9914000000000001",отрицательное
22,смочь,43,"0,7405",положительное
23,последний,42,"-0,5403",отрицательное
24,помочь,41,"1,0",положительное
25,кредит,38,"-0,73895",отрицательное
26,зарплата,37,"-0,95",отрицательное
27,проблема,37,"-0,9722",отрицательное
28,создавать,37,"0,9643",положительное
29,любить,37,"1,0",положительное
30,опыт,37,"0,8478",положительное
31,вместе,36,"0,66",положительное
32,требование,36,"-0,5147",отрицательное
33,сложный,35,"-0,6125",отрицательное
34,помощь,33,"1,0",положительное
35,выручка,32,"0,9",положительное
36,правда,32,"0,7266",положительное
37,открытие,31,"1,0",положительное
38,прибыль,31,"1,0",положительное
39,нельзя,31,"-1,0",отрицательное
40,расход,30,"-0,75",отрицательное
41,понять,30,"0,8023",положительное
42,против,28,"-1,0",отрицательное
43,обучение,28,"0,8077",положительное
44,открыть,27,"1,0",положительное
45,наконец,27,"1,0",положительное
46,никогда,27,"-0,792",отрицательное
47,кризис,27,"-1,0",отрицательное
48,помогать,27,"1,0",положительное
49,создать,26,"0,7143",положительное
50,расти,26,"0,7",положительное
51,суд,25,"-0,6132",отрицательное
52,технология,24,"0,6892",положительное
53,сильный,23,"1,0",положительное
54,крутой,23,"0,9545",положительное
55,ошибка,22,"-0,9905999999999999",отрицательное
56,получиться,22,"0,8628",положительное
57,красота,22,"1,0",положительное
58,любовь,22,"1,0",положительное
59,верить,22,"0,8226",положительное
60,мастер,22,"0,9643",положительное
61,штраф,21,"-0,96875",отрицательное
62,желание,21,"0,6724",положительное
63,уйти,20,"-0,52275",отрицательное
64,успех,20,"1,0",положительное
65,полезный,20,"1,0",положительное
66,развивать,20,"1,0",положительное
67,безопасность,20,"0,9643",положительное
68,долг,20,"-0,6797",отрицательное
69,открытый,19,"1,0",положительное
70,чиновник,19,"-0,6674",отрицательное
71,ответственность,18,"0,9074",положительное
72,потерять,18,"-0,95",отрицательное
73,поддерживать,18,"1,0",положительное
74,образование,18,"0,9324",положительное
75,надеяться,18,"0,7734",положительное
76,труд,17,"0,7791",положительное
77,книга,17,"0,775",положительное
78,получаться,17,"0,8421",положительное
79,лидер,17,"1,0",положительное
80,живой,17,"0,7258",положительное
81,снижение,17,"-0,7172000000000001",отрицательное
82,каникулы,17,"0,651",положительное
83,зарабатывать,16,"0,7941",положительное
84,понятный,16,"0,895",положительное
85,любимый,16,"1,0",положительное
86,зависеть,16,"-0,8484499999999999",отрицательное
87,закрытый,16,"-0,6447499999999999",отрицательное
88,успеть,16,"0,9265",положительное
89,потеря,16,"-1,0",отрицательное
90,сложно,16,"-1,0",отрицательное
91,требовать,15,"-0,62905",отрицательное
92,развиваться,15,"1,0",положительное
93,семья,15,"0,9828",положительное
94,качественный,15,"1,0",положительное
95,запускать,15,"1,0",положительное
96,запуск,15,"1,0",положительное
97,знание,15,"0,9",положительное
98,легко,14,"1,0",положительное
99,счастливый,14,"1,0",положительное
100,повышение,14,"0,9",положительное
101,падение,14,"-0,81665",отрицательное
102,радость,14,"1,0",положительное
103,концепция,14,"0,7",положительное
104,порядок,14,"0,75",положительное
105,делиться,14,"0,9857",положительное
106,родитель,14,"0,8534",положительное
107,настоящий,14,"0,7326",положительное
108,закрыть,14,"-0,5403",отрицательное
109,уметь,14,"0,9146",положительное
110,домашний,14,"0,6556",положительное
111,поделиться,14,"0,7373",положительное
112,ограничение,13,"-0,6810499999999999",отрицательное
113,добрый,13,"1,0",положительное
114,бояться,13,"-0,9722",отрицательное
115,учиться,13,"0,8846",положительное
116,красивый,13,"1,0",положительное
117,польза,13,"1,0",положительное
118,защита,13,"0,9231",положительное
119,гореть,12,"-0,67855",отрицательное
120,уникальный,12,"0,9",положительное
121,согласный,12,"0,6654",положительное
122,активный,12,"1,0",положительное
123,предел,12,"-0,57725",отрицательное
124,потратить,12,"-0,6875",отрицательное
125,конкурент,12,"-0,7101",отрицательное
126,прекрасный,12,"1,0",положительное
127,удовольствие,12,"1,0",положительное
128,профессиональный,12,"0,7377",положительное
129,страх,12,"-0,92145",отрицательное
130,стараться,12,"1,0",положительное
131,эффективный,12,"1,0",положительное
132,отличный,12,"1,0",положительное
133,отдых,12,"1,0",положительное
134,праздник,12,"1,0",положительное
135,хватить,12,"-0,5289999999999999",отрицательное
136,чёткий,12,"0,9091",положительное
137,тратить,12,"-0,6832499999999999",отрицательное
138,удобный,12,"1,0",положительное
139,доверие,12,"1,0",положительное
140,поддержать,12,"0,9643",положительное
141,пиццерия,12,"0,6667",положительное
142,классный,12,"1,0",положительное
143,правильный,11,"0,9",положительное
144,менее,11,"-0,55",отрицательное
145,забыть,11,"-0,76085",отрицательное
146,спорт,11,"0,7388",положительное
147,гордиться,11,"0,8727",положительное
148,счастие,11,"1,0",положительное
149,правительство,11,"-0,53885",отрицательное
150,жалоба,11,"-0,9078999999999999",отрицательное
151,отдыхать,11,"0,9828",положительное
152,чистый,11,"1,0",положительное
153,мечта,11,"1,0",положительное
154,супер,11,"1,0",положительное
155,сотрудничество,11,"0,9194",положительное
156,умереть,10,"-0,87185",отрицательное
157,нагрузка,10,"-0,63915",отрицательное
158,затрата,10,"-0,81755",отрицательное
159,банкротство,10,"-1,0",отрицательное
160,комфортный,10,"1,0",положительное
161,заработать,10,"0,9",положительное
162,старое,10,"-0,5403",отрицательное
163,ценность,10,"1,0",положительное
164,страшный,10,"-0,95",отрицательное
165,плохой,10,"-1,0",отрицательное
166,благодарный,10,"1,0",положительное
167,закрытие,10,"-0,51785",отрицательное
168,вера,10,"0,9231",положительное
169,реализация,10,"0,6964",положительное
170,упасть,10,"-0,95",отрицательное
171,достигнуть,10,"1,0",положительное
172,перестать,10,"-0,5338",отрицательное
173,здоровый,10,"1,0",положительное
174,здоровье,10,"0,9",положительное
175,пустой,10,"-0,66605",отрицательное
176,растить,10,"0,675",положительное
177,булочка,10,"0,7632",положительное
178,выжить,9,"0,9059",положительное
179,тяжёлый,9,"-0,5909",отрицательное
180,улучшение,9,"1,0",положительное
181,нравиться,9,"1,0",положительное
182,спасательный,9,"0,9545",положительное
183,довольный,9,"1,0",положительное
184,помощник,9,"0,8672",положительное
185,рекомендовать,9,"0,7742",положительное
186,семейный,9,"0,9",положительное
187,мороженое,9,"0,9129999999999999",положительное
188,подарок,9,"1,0",положительное
189,удаться,9,"0,9231",положительное
190,свобода,9,"0,8588",положительное
191,лишний,9,"-0,77825",отрицательное
192,отсутствие,9,"-0,68045",отрицательное
193,приятный,9,"1,0",положительное
194,рождение,9,"0,8894",положительное
195,успешно,9,"1,0",положительное
196,добро,9,"1,0",положительное
197,музыка,9,"1,0",положительное
198,эксперт,9,"0,9146",положительное
199,радовать,9,"1,0",положительное
200,повезти,8,"0,8333",положительное
201,отпуск,8,"1,0",положительное
202,поверить,8,"0,6905",положительное
203,нижний,8,"-0,51085",отрицательное
204,яркий,8,"0,9615",положительное
205,прибыльный,8,"1,0",положительное
206,вирус,8,"-1,0",отрицательное
207,перспектива,8,"0,7051",положительное
208,активность,8,"0,8158",положительное
209,актуальный,8,"0,8",положительное
210,еда,8,"0,6799",положительное
211,отменять,8,"-0,7857000000000001",отрицательное
212,общаться,8,"0,6527",положительное
213,выгодный,8,"1,0",положительное
214,лайк,8,"1,0",положительное
215,спасти,8,"1,0",положительное
216,обязать,8,"-0,58205",отрицательное
217,враг,8,"-1,0",отрицательное
218,справиться,8,"1,0",положительное
219,фестиваль,8,"0,8361",положительное
220,экономить,8,"-1,0",отрицательное
